RelativePath,DDTRelativePath,ManifestStatus,OriginalBTIFormat,CompileFormat,FallbackUsed,Provisional,ExpectedTgaSHA256,ActualTgaSHA256,ExpectedDDTSHA256,ActualDDTSHA256,ExpectedDDTBytes,ActualDDTBytes,TgaExists,DDTExists,DDTMagic,DDTWidth,DDTHeight,DDTHeaderSize,ExpectedWidth,ExpectedHeight,ExtractorExitCode,ExtractorExitHex,ExtractorTimedOut,ExtractedTgaExists,ExtractedBTIExists,ExtractedTgaWidth,ExtractedTgaHeight,ExtractedTgaBPP,ExtractedTgaDescriptor,ExtractedBTIFormat,ExtractedBTIAlpha,ExtractedBTINoAlphaTest,ExtractedBTINoMip,ExtractedBTIClamp,AuthoritativeBTIFormat,AuthoritativeBTIAlpha,AuthoritativeBTINoAlphaTest,AuthoritativeBTINoMip,AuthoritativeBTIClamp,SourceTGAShaPASS,DDTHashPASS,DDTSizePASS,MagicPASS,DDTDimensionsPASS,ExtractDimensionsPASS,ExtractFormatPASS,ExtractMetadataPASS,OVERALLPASS,FailureStage,FailureReason,ExtractorOutput,ElapsedSeconds
textures\special e petesuchos corpse bodya.tga,textures\special e petesuchos corpse bodya.ddt,OK,BC3,BC3,NO,NO,90e125da823927ec4e052137dd3f3189a33e91d48f5821195b8532cc4cb7f0ae,90e125da823927ec4e052137dd3f3189a33e91d48f5821195b8532cc4cb7f0ae,8ccf7740f4fe2094639b79595b16aa4e6fd15014028643cff58f49bf9e1a6e9a,8ccf7740f4fe2094639b79595b16aa4e6fd15014028643cff58f49bf9e1a6e9a,32792,32792,True,True,RTS3,128,256,24,128,256,0,0x00000000,False,True,True,128,256,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e petesuchos corpse bodya.ddt	SUCCEEDED
Decompressed 1 textures.
",0.254
textures\special e petesuchos corpse skeletona.tga,textures\special e petesuchos corpse skeletona.ddt,OK,BC3,BC3,NO,NO,f3b59d20d92bb48263aad5792d8931a5bbe3e9c9296de861d4f5f7dd0cca29f5,f3b59d20d92bb48263aad5792d8931a5bbe3e9c9296de861d4f5f7dd0cca29f5,d5b3a83306fc17d7ca0ab807eeb078436ba04a74561bb64fef58914a834db5f1,d5b3a83306fc17d7ca0ab807eeb078436ba04a74561bb64fef58914a834db5f1,32792,32792,True,True,RTS3,128,256,24,128,256,0,0x00000000,False,True,True,128,256,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e petesuchos corpse skeletona.ddt	SUCCEEDED
Decompressed 1 textures.
",0.264
textures\special e petesuchos.tga,textures\special e petesuchos.ddt,OK,BC3,BC3,NO,NO,052999c2089b88e66017f7bf6280584a9caf0841f6b8f0ca49010722cc700d7d,052999c2089b88e66017f7bf6280584a9caf0841f6b8f0ca49010722cc700d7d,bc3cf16419adee9c068bf1e63d23342266ff3de9171ae8502002163f8f48a75b,bc3cf16419adee9c068bf1e63d23342266ff3de9171ae8502002163f8f48a75b,262168,262168,True,True,RTS3,512,512,24,512,512,0,0x00000000,False,True,True,512,512,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e petesuchos.ddt	SUCCEEDED
Decompressed 1 textures.
",0.298
textures\special e pharaoh corpse bodya.tga,textures\special e pharaoh corpse bodya.ddt,OK,BC3,BC3,NO,NO,7628ff657347bdd6f6681e748b6486a6dbcbf6935646285ec5acd996a048d980,7628ff657347bdd6f6681e748b6486a6dbcbf6935646285ec5acd996a048d980,d935218fa01cadad24302efd915f0bd8322e21a204def41fdd5057461b21fcf5,d935218fa01cadad24302efd915f0bd8322e21a204def41fdd5057461b21fcf5,16408,16408,True,True,RTS3,128,128,24,128,128,0,0x00000000,False,True,True,128,128,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e pharaoh corpse bodya.ddt	SUCCEEDED
Decompressed 1 textures.
",0.236
textures\special e pharaoh head.tga,textures\special e pharaoh head.ddt,OK,BC3,BC3,NO,NO,3442570d294dbae77ecbd5bf2aa0001c7d68d131d12b077e06291e6d26781ff9,3442570d294dbae77ecbd5bf2aa0001c7d68d131d12b077e06291e6d26781ff9,60c882c2c4aabac3c1e5cd6eebd284a965326862a277145198d02f5d47a4c637,60c882c2c4aabac3c1e5cd6eebd284a965326862a277145198d02f5d47a4c637,32792,32792,True,True,RTS3,256,128,24,256,128,0,0x00000000,False,True,True,256,128,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e pharaoh head.ddt	SUCCEEDED
Decompressed 1 textures.
",0.309
textures\special e pharaoh skeletona.tga,textures\special e pharaoh skeletona.ddt,OK,BC3,BC3,NO,NO,5df21ef335c144df7573d22250b1adff1249eea5a92c57bffca807874a01702b,5df21ef335c144df7573d22250b1adff1249eea5a92c57bffca807874a01702b,5dba9517fda793032a97d101353466e49385e562e39a18f5d1f63bbe4fa54b9c,5dba9517fda793032a97d101353466e49385e562e39a18f5d1f63bbe4fa54b9c,16408,16408,True,True,RTS3,128,128,24,128,128,0,0x00000000,False,True,True,128,128,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e pharaoh skeletona.ddt	SUCCEEDED
Decompressed 1 textures.
",0.277
textures\special e pharaoh.tga,textures\special e pharaoh.ddt,OK,BC3,BC3,NO,NO,c36d2fd1d21ff0c68a28a48d1fe16ca87b78b60267dde8d63bc7db9c3099833b,c36d2fd1d21ff0c68a28a48d1fe16ca87b78b60267dde8d63bc7db9c3099833b,8ad921269c28c5032764b0b392ab88246f10a9fd748c7c2a4a769fbbf916965c,8ad921269c28c5032764b0b392ab88246f10a9fd748c7c2a4a769fbbf916965c,65560,65560,True,True,RTS3,256,256,24,256,256,0,0x00000000,False,True,True,256,256,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e pharaoh.ddt	SUCCEEDED
Decompressed 1 textures.
",0.249
textures\special e phoenix egg.tga,textures\special e phoenix egg.ddt,OK,BC3,BC3,NO,NO,14294784bc7d4cc187903de74946eab39d1d539b8fe2f44dcc427c0c6fc30ac8,14294784bc7d4cc187903de74946eab39d1d539b8fe2f44dcc427c0c6fc30ac8,29103c5ffd29952ad11fe407bddd49a9ad332a73d3462169b09085538f8fe123,29103c5ffd29952ad11fe407bddd49a9ad332a73d3462169b09085538f8fe123,65560,65560,True,True,RTS3,256,256,24,256,256,0,0x00000000,False,True,True,256,256,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e phoenix egg.ddt	SUCCEEDED
Decompressed 1 textures.
",0.255
textures\special e phoenix shockwave.tga,textures\special e phoenix shockwave.ddt,OK,BC3,BC3,NO,NO,0ab71bd2217494436fb82b500ce9c215078c20687054ed1e57a257804b43964f,0ab71bd2217494436fb82b500ce9c215078c20687054ed1e57a257804b43964f,2662f66c57066a4fd98ee565fc8b24a5301cea1cef3c65b5aa48cc65feedbdb9,2662f66c57066a4fd98ee565fc8b24a5301cea1cef3c65b5aa48cc65feedbdb9,262168,262168,True,True,RTS3,512,512,24,512,512,0,0x00000000,False,True,True,512,512,32,8,BC3,0,False,False,False,BC3,0,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e phoenix shockwave.ddt	SUCCEEDED
Decompressed 1 textures.
",2.081
textures\special e phoenix.tga,textures\special e phoenix.ddt,OK,BC3,BC3,NO,NO,ae32d0306b2227eaae02f25cc787d20b04c48ce1413cce058ca6a6892a12ff3c,ae32d0306b2227eaae02f25cc787d20b04c48ce1413cce058ca6a6892a12ff3c,ea6e15eb035498273716c81ad639825d6a8bc495c6e0fe3e9e7817d9972307d7,ea6e15eb035498273716c81ad639825d6a8bc495c6e0fe3e9e7817d9972307d7,65560,65560,True,True,RTS3,256,256,24,256,256,0,0x00000000,False,True,True,256,256,32,8,BC3,0,True,False,False,BC3,0,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e phoenix.ddt	SUCCEEDED
Decompressed 1 textures.
",0.219
textures\special e priest corpse bodya.tga,textures\special e priest corpse bodya.ddt,OK,BC3,BC3,NO,NO,8d4f0a03f511ba3dfbfb5683ee680ea86fcc4c5bd91a858b1192667e0bc0c249,8d4f0a03f511ba3dfbfb5683ee680ea86fcc4c5bd91a858b1192667e0bc0c249,ea0cae7adc95b0ae539e6be4c9587a3276027cf3c0e87cceabb6501e978e707a,ea0cae7adc95b0ae539e6be4c9587a3276027cf3c0e87cceabb6501e978e707a,16408,16408,True,True,RTS3,128,128,24,128,128,0,0x00000000,False,True,True,128,128,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e priest corpse bodya.ddt	SUCCEEDED
Decompressed 1 textures.
",0.222
textures\special e priest head.tga,textures\special e priest head.ddt,OK,BC3,BC3,NO,NO,c9a3f14a24a679c689842c064574cd2d4d6460ec6cb8596a40a4cc69bb3ad412,c9a3f14a24a679c689842c064574cd2d4d6460ec6cb8596a40a4cc69bb3ad412,eb2137c8b4f160af44db52cd0d815c67b5e060adee51b06ca2a7e1d5d95bda6b,eb2137c8b4f160af44db52cd0d815c67b5e060adee51b06ca2a7e1d5d95bda6b,8216,8216,True,True,RTS3,128,64,24,128,64,0,0x00000000,False,True,True,128,64,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e priest head.ddt	SUCCEEDED
Decompressed 1 textures.
",0.337
textures\special e priest skeletona.tga,textures\special e priest skeletona.ddt,OK,BC3,BC3,NO,NO,4000ff0387689a95c7553f535cea597426beede0090d2942d1b3c481dc179e1d,4000ff0387689a95c7553f535cea597426beede0090d2942d1b3c481dc179e1d,a6d16b7ab0366981953fadb179d1c7700cb7b78c5f6d011b9aa84c147473de5a,a6d16b7ab0366981953fadb179d1c7700cb7b78c5f6d011b9aa84c147473de5a,16408,16408,True,True,RTS3,128,128,24,128,128,0,0x00000000,False,True,True,128,128,32,8,BC3,4,False,False,False,BC3,4,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e priest skeletona.ddt	SUCCEEDED
Decompressed 1 textures.
",0.284
textures\special e priest staff.tga,textures\special e priest staff.ddt,OK,BC3,BC3,NO,NO,4971ac4491c19946cf75ab2368f927ba4d19d469738e5c073c50fddde8b6206b,4971ac4491c19946cf75ab2368f927ba4d19d469738e5c073c50fddde8b6206b,89f7940a16d26838d4ee7bf4d204c65e764f6fe23e056d3fcfe31eddbfa380de,89f7940a16d26838d4ee7bf4d204c65e764f6fe23e056d3fcfe31eddbfa380de,8216,8216,True,True,RTS3,256,32,24,256,32,0,0x00000000,False,True,True,256,32,32,8,BC3,1,False,False,False,BC3,1,False,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e priest staff.ddt	SUCCEEDED
Decompressed 1 textures.
",0.250
textures\special e priest.tga,textures\special e priest.ddt,OK,BC3,BC3,NO,NO,471878497c1859c4420fd749a096423dc25685d74ba9a6d14e4af1fd3cb894ae,471878497c1859c4420fd749a096423dc25685d74ba9a6d14e4af1fd3cb894ae,ba8d56babe0b99d54e24ad79b0c2235036c58c88a409d83861ac4c0179ae0bb1,ba8d56babe0b99d54e24ad79b0c2235036c58c88a409d83861ac4c0179ae0bb1,65560,65560,True,True,RTS3,256,256,24,256,256,0,0x00000000,False,True,True,256,256,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e priest.ddt	SUCCEEDED
Decompressed 1 textures.
",2.056
textures\special e roc basket.tga,textures\special e roc basket.ddt,OK,BC3,BC3,NO,NO,cc8fac7a232b71a55d4a8ed5abdcdd76717e7b8bc9761faf7e255c88232fd2cb,cc8fac7a232b71a55d4a8ed5abdcdd76717e7b8bc9761faf7e255c88232fd2cb,bcfe6e1b234fa0546d332666444fb1b2bdbadb61842276234d8c85516ddc1d9d,bcfe6e1b234fa0546d332666444fb1b2bdbadb61842276234d8c85516ddc1d9d,262168,262168,True,True,RTS3,512,512,24,512,512,0,0x00000000,False,True,True,512,512,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e roc basket.ddt	SUCCEEDED
Decompressed 1 textures.
",0.952
textures\special e roc.tga,textures\special e roc.ddt,OK,BC3,BC3,NO,NO,e62fcf8f5cb60792a8422837fbb884748c2b4857a4fd1f96c2d5854e9c2eb51c,e62fcf8f5cb60792a8422837fbb884748c2b4857a4fd1f96c2d5854e9c2eb51c,38395594f2f29f6a97bd80312ebb4854b3cb34240588ad4504be3e4851c567ff,38395594f2f29f6a97bd80312ebb4854b3cb34240588ad4504be3e4851c567ff,262168,262168,True,True,RTS3,512,512,24,512,512,0,0x00000000,False,True,True,512,512,32,8,BC3,1,True,False,False,BC3,1,True,False,False,True,True,True,True,True,True,True,True,True,,,"Processing D:\AI_upscaling\AoMEE\processed\DDT_PBRify_V4\textures\special e roc.ddt	SUCCEEDED
Decompressed 1 textures.
",0.251
