LogicalTGA,SourceClass,TGAPath,TGABYTES,TGASHA256,BTIPath,BTIBYTES,BTISHA256
dlc-frontend\textures\ui\ui border bottom left corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.tga,32786,6789ccb7943476927be65b08cc90233dfa9a9c865dd4afdab0346af87f413e80,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border bottom middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.tga,16402,8c0a7bef8b700c65ef9b6b7c4b2e76963aee0d65a7dc28312865fcdaa40254e0,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border bottom right corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.tga,32786,a097cb944bba828e68df4d449fb5f8563fc3decca7161d8fc48b614a6f2f9b37,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border left middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.tga,65554,6d9b4fc0aeb30a4e5b1e90fae9f3f666eef3315f7be3536db9b095cc67c6857f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border right middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.tga,65554,9bf34b3d6a072d3a6884b61a1c2eb1fe98ea234aab55deb2be9a06d1406bfcec,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border top left corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.tga,32786,5aded23ea58d99960c9012272cc1d4e3d5caa794a212b0334ea6e5c82ccc54e2,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border top middle.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.tga,16402,c733e15ff51a0714a66d8706b1021c170a6382065aa4a9394529e55f79bb2e8f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui border top right corner.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.tga,32786,40ac786e6b580e72d2095519dc584b5372d4a26846ac6cb9394f321399e90aea,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga,8210,aee751560e31c4ce20845b603a966003e829c061d48ededf445b5550aac9f4a6,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga,8210,236b1c83119597e8574740a732fe8981d381c07a91a7af12b1d908a73dd81213,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow down 32x64.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.tga,8210,3e26c0a1543528c341d84ff0683bcf20e3c6e70a7d72b1190fdde0070618d8bb,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga,8210,85a229808589af275f5ee9c7823c8ae833947a34e9d94a74a059d1676677122f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
