"RelativePath","SourceType","TgaPath","BtiPath","OriginalDdtPath","Width","Height","TgaImageType","BitsPerPixel","TgaBytes","BtiFound","OriginalDdtFound","ProcessingEligible","DuplicateRelativePath"
"dlc-frontend\textures\ui\ui button long 224x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 224x32 rollover.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 224x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 224x32.ddt","256","32","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 96x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 96x32 clicked.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 96x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 96x32 rollover.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button long 96x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 96x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button long 96x32.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui button radial 32x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button radial 32x32 clicked.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button radial 32x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button radial 32x32 rollover.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button radial 32x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button radial 32x32.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow down 32x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow down 32x32.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow left 32x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow left 32x32.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.ddt","32","32","2","32","4114","True","True","True","False"
