"RelativePath","SourceType","TgaPath","BtiPath","OriginalDdtPath","Width","Height","TgaImageType","BitsPerPixel","TgaBytes","BtiFound","OriginalDdtFound","ProcessingEligible","DuplicateRelativePath"
"dlc-frontend\textures\ui\ui border bottom left corner.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom left corner.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border bottom left corner.ddt","64","128","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui border bottom middle.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom middle.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border bottom middle.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui border bottom right corner.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border bottom right corner.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border bottom right corner.ddt","64","128","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui border left middle.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border left middle.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border left middle.ddt","64","256","2","32","65554","True","True","True","False"
"dlc-frontend\textures\ui\ui border right middle.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border right middle.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border right middle.ddt","64","256","2","32","65554","True","True","True","False"
"dlc-frontend\textures\ui\ui border top left corner.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top left corner.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border top left corner.ddt","64","128","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui border top middle.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top middle.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border top middle.ddt","128","32","2","32","16402","True","True","True","False"
"dlc-frontend\textures\ui\ui border top right corner.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui border top right corner.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui border top right corner.ddt","64","128","2","32","32786","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow down 32x64 clicked.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow down 32x64 rollover.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow down 32x64.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow down 32x64.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.ddt","64","32","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.ddt","64","32","2","32","8210","True","True","True","False"
