"RelativePath","FullPath","Size","UTF8BOM","Alpha","NoMip","Format","Text"
"textures\terrain\shorelinenorwegianb_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianb_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianb_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianb_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianb_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianb_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianc.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianc.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianc_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianc_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianc_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianc_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianc_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianc_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinePlainA.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinePlainA.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinePlainB.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinePlainB.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinePlainC.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinePlainC.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinePlainD.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinePlainD.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineredseaa.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineredseaa.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineredseaa_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineredseaa_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
