"RelativePath","FullPath","Size","UTF8BOM","Alpha","NoMip","Format","Text"
"textures\terrain\sanddirt50_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sanddirt50_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sanddirt50b.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50b.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sanddirt50b_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50b_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sanddirt50b_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50b_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sanddirt50b_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sanddirt50b_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sande.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sande.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sande_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sande_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sande_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sande_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sande_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sande_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\sandsvdblendlshapecorner.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandsvdblendlshapecorner.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandsvdblendthreecorners.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandsvdblendthreecorners.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendcircle.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendcircle.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendcorner.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendcorner.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendedge.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendedge.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendedgecorner.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendedgecorner.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendedgetwocorners.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendedgetwocorners.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendfourcorners.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendfourcorners.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendlshape.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendlshape.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendlshapecorner.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendlshapecorner.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendlshapecorner2.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendlshapecorner2.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendthreecorner.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendthreecorner.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendtwocorners.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendtwocorners.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendtwoedges.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendtwoedges.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendtwooppositecorners.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendtwooppositecorners.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\sandvdblendushape.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\sandvdblendushape.bti","25","False","8","False","DeflatedRGBA8","alpha=8 fmt=DeflatedRGBA8"
"textures\terrain\savannaha.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannaha.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannaha_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannaha_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannaha_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannaha_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannaha_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannaha_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahb.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahb.bti","24","False","0","False","DeflatedRGB8","alpha=0 fmt=DeflatedRGB8"
"textures\terrain\savannahb_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahb_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahb_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahb_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahb_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahb_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahc.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahc.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahc_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahc_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahc_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahc_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahc_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahc_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahd.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahd.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahd_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahd_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahd_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahd_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\savannahd_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\savannahd_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shoreline_sanda.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shoreline_sanda.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shoreline_sanda_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shoreline_sanda_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shoreline_sanda_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shoreline_sanda_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shoreline_sanda_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shoreline_sanda_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeana.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeana.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeana_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeana_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeana_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeana_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeana_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeana_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanb.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanb.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanb_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanb_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanb_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanb_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanb_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanb_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanc.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanc.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
