"Filename","Category","Width","Height","OpaquePixels","OpaqueCoveragePct","AlphaValueCount","BTIFile","BTILine"
"building g settlementage2.tga","Building","256","256","1078","1.645","2","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage2.bti","alpha=1 noalphatest fmt=BC3"
"building g settlementage3.tga","Building","256","256","933","1.424","2","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage3.bti","alpha=1 noalphatest fmt=BC3"
"building g shared05 2 map.tga","Building","256","256","2268","3.461","2","D:\AI_upscaling\AoMEE\extracted\textures\building g shared05 2 map.bti","alpha=1 noalphatest fmt=BC3"
"building g shrine.tga","Building","256","256","208","0.317","2","D:\AI_upscaling\AoMEE\extracted\textures\building g shrine.bti","alpha=1 noalphatest fmt=BC3"
"building g temple.tga","Building","256","256","1308","1.996","2","D:\AI_upscaling\AoMEE\extracted\textures\building g temple.bti","alpha=1 noalphatest fmt=BC3"
"building g templeage1.tga","Building","256","256","993","1.515","2","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage1.bti","alpha=1 noalphatest fmt=BC3"
"building g templeage2.tga","Building","256","256","969","1.479","2","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage2.bti","alpha=1 noalphatest fmt=BC3"
"building g towers.tga","Building","256","256","1122","1.712","2","D:\AI_upscaling\AoMEE\extracted\textures\building g towers.bti","alpha=1 noalphatest fmt=BC3"
"building g wallsage1.tga","Building","256","256","2061","3.145","2","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage1.bti","alpha=1 noalphatest fmt=BC3"
"building g wallsage2.tga","Building","256","256","1596","2.435","2","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage2.bti","alpha=1 noalphatest fmt=BC3"
"building g wallsage3.tga","Building","256","256","2199","3.355","2","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage3.bti","alpha=1 noalphatest fmt=BC3"
"building g wonder.tga","Building","256","256","1047","1.598","2","D:\AI_upscaling\AoMEE\extracted\textures\building g wonder.bti","alpha=1 noalphatest fmt=BC3"
"building g zues wonder01.tga","Building","256","256","1813","2.766","2","D:\AI_upscaling\AoMEE\extracted\textures\building g zues wonder01.bti","alpha=1 noalphatest fmt=BC3"
"building n settlementage1.tga","Building","256","256","940","1.434","2","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage1.bti","alpha=1 noalphatest fmt=BC3"
"building n settlementage2.tga","Building","256","256","950","1.45","2","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage2.bti","alpha=1 noalphatest fmt=BC3"
"building n settlementage3.tga","Building","256","256","1076","1.642","2","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage3.bti","alpha=1 noalphatest fmt=BC3"
"building n shared01 1 map.tga","Building","256","256","1113","1.698","2","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 1 map.bti","alpha=1 noalphatest fmt=BC3"
"building n shared01 3 map.tga","Building","256","256","1308","1.996","2","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 3 map.bti","alpha=1 noalphatest fmt=BC3"
