"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"special e roc.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e roc.bti"
"special e scorpion man head.tga",,"32","32","1","Binary","1024","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e scorpion man head.bti"
"special g giant turtle.tga",,"256","256","244","MultiValue","56735","8801","0","13.429","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g giant turtle.bti"
"special g pegasus wings.tga",,"64","64","42","MultiValue","3967","129","0","3.149","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g pegasus wings.bti"
"special n king folstag.tga",,"64","64","1","Binary","4096","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n king folstag.bti"
"special n valkyrie low.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n valkyrie low.bti"
"statue x kronos map.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\statue x kronos map.bti"
"titan e ra pads map.tga",,"64","64","172","MultiValue","2342","1754","0","42.822","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan e ra pads map.bti"
"titan e ra skirt map.tga",,"256","256","239","MultiValue","50354","15182","0","23.166","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan e ra skirt map.bti"
"titan x gaia.tga",,"256","256","165","MultiValue","63755","1781","0","2.718","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x gaia.bti"
"titan x golem map1.tga",,"256","256","242","MultiValue","47860","17676","0","26.971","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x golem map1.bti"
"titan x golem map2.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x golem map2.bti"
"trade c caravan.tga",,"64","64","1","Binary","4096","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade c caravan.bti"
"trade e caravan cargo.tga",,"64","64","1","Binary","4096","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan cargo.bti"
"world a gold map.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a gold map.bti"
