"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"building g towers.tga",,"256","256","2","Binary","64414","0","1122","1.712","1.712","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g towers.bti"
"hero g physician.tga",,"64","64","83","MultiValue","3500","525","71","14.551","1.733","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g physician.bti"
"world e statue isis.tga",,"128","128","2","Binary","16097","0","287","1.752","1.752","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world e statue isis.bti"
"building n shrine.tga",,"128","128","3","MultiValue","16065","27","292","1.947","1.782","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shrine.bti"
"villager n oxcart.tga",,"128","128","2","Binary","16090","0","294","1.794","1.794","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\villager n oxcart.bti"
"building g fortifiedwall.tga",,"256","256","2","Binary","64354","0","1182","1.804","1.804","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortifiedwall.bti"
"animal goatnubian map.tga",,"64","64","2","Binary","4022","0","74","1.807","1.807","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal goatnubian map.bti"
"building n settlementage4.tga",,"256","256","3","MultiValue","64302","10","1224","1.883","1.868","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage4.bti"
"building e wall4.tga",,"256","256","2","Binary","64296","0","1240","1.892","1.892","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e wall4.bti"
"building c earthen wall.tga",,"256","256","2","Binary","64284","0","1252","1.91","1.91","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c earthen wall.bti"
"building c fortified wall.tga",,"256","256","2","Binary","64284","0","1252","1.91","1.91","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c fortified wall.bti"
"building c great wall.tga",,"256","256","2","Binary","64284","0","1252","1.91","1.91","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c great wall.bti"
"building c stone wall.tga",,"256","256","2","Binary","64284","0","1252","1.91","1.91","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c stone wall.bti"
"world g statue hades.tga",,"128","128","2","Binary","16066","0","318","1.941","1.941","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue hades.bti"
"oranos wonder map1.tga",,"256","256","2","Binary","64256","0","1280","1.953","1.953","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map1.bti"
"building e age2 wall.tga",,"256","256","3","MultiValue","64244","11","1281","1.971","1.955","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 wall.bti"
"world n statue odin.tga",,"128","128","3","MultiValue","16008","53","323","2.295","1.971","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n statue odin.bti"
"special c vermillion bird.tga",,"256","256","111","MultiValue","63606","627","1303","2.945","1.988","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special c vermillion bird.bti"
"building g temple.tga",,"256","256","2","Binary","64228","0","1308","1.996","1.996","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g temple.bti"
"building n shared01 3 map.tga",,"256","256","2","Binary","64228","0","1308","1.996","1.996","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 3 map.bti"
"building e isis wonder02.tga",,"256","256","2","Binary","64199","0","1337","2.04","2.04","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder02.bti"
"building e isis wonder01.tga",,"256","256","2","Binary","64192","0","1344","2.051","2.051","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder01.bti"
"special e scarab map.tga",,"128","128","3","MultiValue","16025","22","337","2.191","2.057","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e scarab map.bti"
"building x roof age1.tga",,"256","256","2","Binary","64172","0","1364","2.081","2.081","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age1.bti"
"building c tower age2.tga",,"256","256","2","Binary","64164","0","1372","2.094","2.094","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age2.bti"
"building c tower age3.tga",,"256","256","2","Binary","64164","0","1372","2.094","2.094","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age3.bti"
"building c tower age4.tga",,"256","256","2","Binary","64164","0","1372","2.094","2.094","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age4.bti"
"building e ra wonder02.tga",,"256","256","2","Binary","64162","0","1374","2.097","2.097","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder02.bti"
"sfx g plenty.tga",,"256","256","2","Binary","64155","0","1381","2.107","2.107","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty.bti"
"special g hydra land.tga",,"256","256","3","MultiValue","64096","47","1393","2.197","2.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g hydra land.bti"
"building e set wonder02.tga",,"256","256","2","Binary","64132","0","1404","2.142","2.142","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder02.bti"
"hero c general horse.tga",,"128","128","140","MultiValue","14969","1050","365","8.636","2.228","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero c general horse.bti"
"special g centaur low.tga",,"128","64","2","Binary","8008","0","184","2.246","2.246","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur low.bti"
"building e monument platforms.tga",,"256","256","2","Binary","64061","0","1475","2.251","2.251","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument platforms.bti"
"mu x behemoth map.tga",,"256","256","3","MultiValue","63943","101","1492","2.431","2.277","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\mu x behemoth map.bti"
"building x wall oreichalkos.tga",,"256","256","2","Binary","64040","0","1496","2.283","2.283","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall oreichalkos.bti"
"hero c monk.tga",,"64","64","79","MultiValue","3479","523","94","15.063","2.295","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero c monk.bti"
"kronos wonder map2.tga",,"256","256","2","Binary","64026","0","1510","2.304","2.304","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\kronos wonder map2.bti"
"building g hades wonder.tga",,"256","256","2","Binary","64000","0","1536","2.344","2.344","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g hades wonder.bti"
"building x sky temple.tga",,"256","256","3","MultiValue","63932","68","1536","2.448","2.344","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x sky temple.bti"
"sfx g animal magnetism.tga",,"128","128","3","MultiValue","15914","86","384","2.869","2.344","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g animal magnetism.bti"
"cavalry c chariot horse bronze.tga",,"256","256","145","MultiValue","62739","1242","1555","4.268","2.373","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse bronze.bti"
"cavalry c chariot horse iron.tga",,"256","256","145","MultiValue","62739","1242","1555","4.268","2.373","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse iron.bti"
"building n shared03 2 map.tga",,"256","256","3","MultiValue","63927","25","1584","2.455","2.417","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared03 2 map.bti"
"siege x fire siphon upgrade.tga",,"128","128","3","MultiValue","15962","26","396","2.576","2.417","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x fire siphon upgrade.bti"
"siege x fire siphon.tga",,"128","128","3","MultiValue","15962","26","396","2.576","2.417","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x fire siphon.bti"
"building g wallsage2.tga",,"256","256","2","Binary","63940","0","1596","2.435","2.435","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage2.bti"
"building g fortresswall.tga",,"256","256","2","Binary","63921","0","1615","2.464","2.464","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall.bti"
"cavalry x javelin horse hero.tga",,"128","128","3","MultiValue","15937","43","404","2.728","2.466","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse hero.bti"
"cavalry x javelin horse iron.tga",,"128","128","3","MultiValue","15937","43","404","2.728","2.466","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse iron.bti"
"cavalry g hetairoi horse iron.tga",,"128","128","3","MultiValue","15939","26","419","2.716","2.557","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi horse iron.bti"
"special c salamander.tga",,"128","128","153","MultiValue","14660","1297","427","10.522","2.606","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special c salamander.bti"
"animal goat map.tga",,"64","64","3","MultiValue","3978","11","107","2.881","2.612","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal goat map.bti"
"world n statue thor.tga",,"128","128","3","MultiValue","15893","58","433","2.997","2.643","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n statue thor.bti"
"building n shared04 2 map.tga",,"256","256","3","MultiValue","63762","31","1743","2.707","2.66","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared04 2 map.bti"
"animal cow a map.tga",,"128","128","2","Binary","15944","0","440","2.686","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti"
"animal cow b map.tga",,"128","128","2","Binary","15944","0","440","2.686","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow b map.bti"
"animal cow c map.tga",,"128","128","2","Binary","15944","0","440","2.686","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow c map.bti"
"siege n ballista map.tga",,"256","256","3","MultiValue","63752","10","1774","2.722","2.707","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista map.bti"
"building e age1.tga",,"256","256","3","MultiValue","63436","290","1810","3.204","2.762","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age1.bti"
"building e settlement age1.tga",,"256","256","3","MultiValue","63436","290","1810","3.204","2.762","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age1.bti"
"building g zues wonder01.tga",,"256","256","2","Binary","63723","0","1813","2.766","2.766","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g zues wonder01.bti"
"world n statue loki.tga",,"128","128","3","MultiValue","15875","48","461","3.107","2.814","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n statue loki.bti"
"building e titan gate map.tga",,"256","256","2","Binary","63684","0","1852","2.826","2.826","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate map.bti"
"hero g heracles shield.tga",,"64","32","3","MultiValue","1952","38","58","4.688","2.832","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles shield.bti"
"cyclops high.tga",,"256","256","3","MultiValue","63660","5","1871","2.863","2.855","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cyclops high.bti"
"building n shared01 2 map.tga",,"256","256","3","MultiValue","63573","90","1873","2.995","2.858","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 2 map.bti"
"statue x oranos map.tga",,"128","128","2","Binary","15915","0","469","2.863","2.863","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\statue x oranos map.bti"
"building c accessories.tga",,"256","256","95","MultiValue","62490","1156","1890","4.648","2.884","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c accessories.bti"
"scenario g circe head.tga",,"32","32","2","Binary","994","0","30","2.93","2.93","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe head.bti"
"siege x onager iron.tga",,"64","64","4","MultiValue","3970","4","122","3.076","2.979","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x onager iron.bti"
"siege x onager.tga",,"64","64","4","MultiValue","3970","4","122","3.076","2.979","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x onager.bti"
"naval c all.tga",,"256","256","158","MultiValue","61319","2233","1984","6.435","3.027","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\naval c all.bti"
"building e age2 burnt.tga",,"256","256","2","Binary","63524","0","2012","3.07","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 burnt.bti"
"building e age2.tga",,"256","256","2","Binary","63524","0","2012","3.07","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2.bti"
"building e settlement age2.tga",,"256","256","2","Binary","63524","0","2012","3.07","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age2.bti"
"building e shared01 2 map.tga",,"256","256","2","Binary","63524","0","2012","3.07","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e shared01 2 map.bti"
"cine x hp arcusweaponsmap.tga",,"128","128","3","MultiValue","15846","26","512","3.284","3.125","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine x hp arcusweaponsmap.bti"
"world c statue nuwa stand.tga",,"32","64","2","Binary","1984","0","64","3.125","3.125","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world c statue nuwa stand.bti"
"building g wallsage1.tga",,"256","256","2","Binary","63475","0","2061","3.145","3.145","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage1.bti"
"special g scylla map.tga",,"128","128","3","MultiValue","15821","21","542","3.436","3.308","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g scylla map.bti"
"building g wallsage3.tga",,"256","256","2","Binary","63337","0","2199","3.355","3.355","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage3.bti"
"cinematic naval g trireme.tga",,"256","256","3","MultiValue","63270","64","2202","3.458","3.36","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cinematic naval g trireme.bti"
"siege g helepolis iron.tga",,"256","128","3","MultiValue","31587","78","1103","3.604","3.366","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g helepolis iron.bti"
"siege g helepolis.tga",,"256","128","3","MultiValue","31587","78","1103","3.604","3.366","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g helepolis.bti"
"world g statue zeus.tga",,"128","128","2","Binary","15830","0","554","3.381","3.381","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue zeus.bti"
"building n odin wonder01.tga",,"256","256","3","MultiValue","63302","16","2218","3.409","3.384","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n odin wonder01.bti"
"cavalry g hippikon head bronze.tga",,"32","32","2","Binary","989","0","35","3.418","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head bronze.bti"
"cavalry g hippikon head copper.tga",,"32","32","2","Binary","989","0","35","3.418","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head copper.bti"
"cavalry g hippikon head iron.tga",,"32","32","2","Binary","989","0","35","3.418","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head iron.bti"
"special g carcinos.tga",,"128","128","3","MultiValue","15687","136","561","4.254","3.424","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g carcinos.bti"
"building g shared05 2 map.tga",,"256","256","2","Binary","63268","0","2268","3.461","3.461","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g shared05 2 map.bti"
"hero g polyphemus shield.tga",,"64","32","3","MultiValue","1952","25","71","4.688","3.467","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g polyphemus shield.bti"
"building n titan gate map.tga",,"256","256","3","MultiValue","62875","370","2291","4.06","3.496","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n titan gate map.bti"
"special n giant.tga",,"128","128","3","MultiValue","15796","15","573","3.589","3.497","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n giant.bti"
"temp santa body.tga",,"128","128","3","MultiValue","15796","15","573","3.589","3.497","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\temp santa body.bti"
"scenario t troy wall long dead.tga",,"256","256","2","Binary","63232","0","2304","3.516","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long dead.bti"
"scenario t troy wall long deadb.tga",,"256","256","2","Binary","63232","0","2304","3.516","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long deadb.bti"
"scenario t troy wall long.tga",,"256","256","2","Binary","63232","0","2304","3.516","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long.bti"
"world n loki statue map.tga",,"128","128","3","MultiValue","15684","116","584","4.272","3.564","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n loki statue map.bti"
"world n thor statue map.tga",,"128","128","3","MultiValue","15684","116","584","4.272","3.564","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n thor statue map.bti"
"cavalry e camelry camel copper.tga",,"128","128","3","MultiValue","15774","25","585","3.723","3.571","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel copper.bti"
"cavalry e camelry camel bronze.tga",,"128","128","3","MultiValue","15773","25","586","3.729","3.577","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel bronze.bti"
"building g fortressroof.tga",,"256","256","2","Binary","63188","0","2348","3.583","3.583","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortressroof.bti"
"cavalry e camelry camel iron.tga",,"128","128","3","MultiValue","15776","20","588","3.711","3.589","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel iron.bti"
"special n giant map.tga",,"64","64","3","MultiValue","3925","22","149","4.175","3.638","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n giant map.bti"
"mu x dryad.tga",,"128","128","3","MultiValue","15738","32","614","3.943","3.748","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\mu x dryad.bti"
"special e roc basket.tga",,"128","128","2","Binary","15769","0","615","3.754","3.754","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e roc basket.bti"
"scenario e great box.tga",,"256","256","3","MultiValue","62931","54","2551","3.975","3.893","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario e great box.bti"
"siege c fire lance head bronze.tga",,"64","32","18","MultiValue","1931","37","80","5.713","3.906","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege c fire lance head bronze.bti"
"siege c fire lance head iron.tga",,"64","32","18","MultiValue","1931","37","80","5.713","3.906","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege c fire lance head iron.bti"
"siege c fire lance head.tga",,"64","32","18","MultiValue","1931","37","80","5.713","3.906","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege c fire lance head.bti"
"building x mirror tower.tga",,"256","128","3","MultiValue","31460","16","1292","3.992","3.943","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x mirror tower.bti"
"cavalry x javelin horse bronze.tga",,"128","128","3","MultiValue","15705","32","647","4.144","3.949","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse bronze.bti"
"special g manticore.tga",,"128","128","3","MultiValue","15685","51","648","4.266","3.955","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g manticore.bti"
"trade c caravan cargo.tga",,"64","64","25","MultiValue","3579","355","162","12.622","3.955","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade c caravan cargo.bti"
"sfx a walking woods.tga",,"128","128","3","MultiValue","15673","61","650","4.34","3.967","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx a walking woods.bti"
"cine a jarl map.tga",,"256","256","3","MultiValue","62834","100","2602","4.123","3.97","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine a jarl map.bti"
"cavalry e camelry camel standard.tga",,"128","128","3","MultiValue","15696","31","657","4.199","4.01","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel standard.bti"
"special g golem map.tga",,"256","256","22","MultiValue","62819","80","2637","4.146","4.024","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g golem map.bti"
"special n fenris.tga",,"128","128","3","MultiValue","15678","33","673","4.309","4.108","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n fenris.bti"
"cine a jarl horse map.tga",,"256","256","3","MultiValue","62711","122","2703","4.311","4.124","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine a jarl horse map.bti"
"cavalry e war elephant basket standard.tga",,"64","64","2","Binary","3927","0","169","4.126","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket standard.bti"
"siege n ballista iron.tga",,"64","64","2","Binary","3927","0","169","4.126","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista iron.bti"
"siege n ballista.tga",,"64","64","2","Binary","3927","0","169","4.126","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista.bti"
"special g cyclops map.tga",,"128","128","3","MultiValue","15673","33","678","4.34","4.138","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops map.bti"
"cavalry e mercenary horse standard.tga",,"128","128","3","MultiValue","15644","56","684","4.517","4.175","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e mercenary horse standard.bti"
"cavalry n jarl horse bronze.tga",,"128","128","3","MultiValue","15590","107","687","4.846","4.193","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse bronze.bti"
"building e age3.tga",,"256","256","3","MultiValue","62770","5","2761","4.221","4.213","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age3.bti"
"building e settlement age3.tga",,"256","256","3","MultiValue","62770","5","2761","4.221","4.213","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age3.bti"
"building e shared01 3 map.tga",,"256","256","3","MultiValue","62770","5","2761","4.221","4.213","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e shared01 3 map.bti"
"sfx e citadel age4.tga",,"256","256","2","Binary","62734","0","2802","4.276","4.276","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel age4.bti"
"sfx e citadel.tga",,"256","256","2","Binary","62734","0","2802","4.276","4.276","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel.bti"
"cavalry g cataphract horse iron.tga",,"128","128","3","MultiValue","15650","33","701","4.48","4.279","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract horse iron.bti"
"cine g poseidon stone.tga",,"256","256","2","Binary","62730","0","2806","4.282","4.282","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine g poseidon stone.bti"
"siege x chieroballista downgrade.tga",,"128","128","3","MultiValue","15659","21","704","4.425","4.297","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x chieroballista downgrade.bti"
"siege x chieroballista.tga",,"128","128","3","MultiValue","15659","21","704","4.425","4.297","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege x chieroballista.bti"
"world g statue poseidon.tga",,"128","128","3","MultiValue","15641","33","710","4.535","4.333","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue poseidon.bti"
"special e petesuchos.tga",,"128","128","2","Binary","15668","0","716","4.37","4.37","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e petesuchos.bti"
"cavalry e war elephant copper.tga",,"256","128","3","MultiValue","31173","153","1442","4.868","4.401","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant copper.bti"
"cavalry x lancer horse bronze.tga",,"128","128","3","MultiValue","15625","38","721","4.633","4.401","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse bronze.bti"
"cavalry x lancer horse hero.tga",,"128","128","3","MultiValue","15625","38","721","4.633","4.401","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse hero.bti"
"cavalry x lancer horse iron.tga",,"128","128","3","MultiValue","15625","38","721","4.633","4.401","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse iron.bti"
"world c statue shennong.tga",,"128","128","9","MultiValue","15575","81","728","4.938","4.443","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world c statue shennong.bti"
"titan g cerebus map1.tga",,"256","256","3","MultiValue","62465","121","2950","4.686","4.501","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan g cerebus map1.bti"
"world x gaia  statue map.tga",,"128","128","3","MultiValue","15582","59","743","4.895","4.535","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world x gaia  statue map.bti"
"building g titan gate door map.tga",,"128","128","3","MultiValue","15558","75","751","5.042","4.584","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate door map.bti"
"scenario u shade.tga",,"64","64","3","MultiValue","3897","10","189","4.858","4.614","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario u shade.bti"
"cavalry n jarl horse iron.tga",,"128","128","3","MultiValue","15509","116","759","5.341","4.633","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse iron.bti"
"special g centaur upgrade.tga",,"64","64","2","Binary","3906","0","190","4.639","4.639","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur upgrade.bti"
"special g centaur.tga",,"64","64","2","Binary","3906","0","190","4.639","4.639","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur.bti"
"building n loki wonder02.tga",,"256","256","3","MultiValue","61988","473","3075","5.414","4.692","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n loki wonder02.bti"
"Animal William Walrus Map.tga",,"256","256","68","MultiValue","62161","294","3081","5.15","4.701","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\Animal William Walrus Map.bti"
"cine g hoplite shield.tga",,"128","64","3","MultiValue","7778","26","388","5.054","4.736","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine g hoplite shield.bti"
"special g cyclops upgrade.tga",,"128","128","2","Binary","15600","0","784","4.785","4.785","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops upgrade.bti"
"special g cyclops.tga",,"128","128","2","Binary","15600","0","784","4.785","4.785","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops.bti"
"titan c pangu.tga",,"1024","512","229","MultiValue","494903","4174","25211","5.605","4.809","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan c pangu.bti"
"cavalry n jarl horse copper.tga",,"128","128","3","MultiValue","15508","85","791","5.347","4.828","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse copper.bti"
"lp mu x stymphalian bird map.tga",,"128","128","3","MultiValue","15453","133","798","5.682","4.871","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\lp mu x stymphalian bird map.bti"
"world a tents map.tga",,"256","256","3","MultiValue","62302","26","3208","4.935","4.895","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a tents map.bti"
"world n odin statue map.tga",,"128","128","3","MultiValue","15491","90","803","5.45","4.901","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n odin statue map.bti"
"titan n troll map2.tga",,"256","256","3","MultiValue","62293","5","3238","4.948","4.941","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan n troll map2.bti"
"villager n ox.tga",,"64","64","3","MultiValue","3885","5","206","5.151","5.029","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\villager n ox.bti"
"mu x stymphalian bird map.tga",,"256","256","3","MultiValue","61763","462","3311","5.757","5.052","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\mu x stymphalian bird map.bti"
"building e age4.tga",,"256","256","2","Binary","62160","0","3376","5.151","5.151","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4.bti"
"building e settlement age4.tga",,"256","256","2","Binary","62160","0","3376","5.151","5.151","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age4.bti"
