relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
dlc-frontend/textures/ui/ui border right middle.tga,64,256,256,1024,True,True,True,d4f25a9538b80d4467683335b8b1f7ffdf0e69713c4aa12c354460fc2b38da9a,31463d9e8c7f56b77222b0a465406e3bc424226a8e7ddc0fa294733965002376,
dlc-frontend/textures/ui/ui border top left corner.tga,64,128,256,512,True,True,True,b9a7fadca97c429a285909d5c27cbb775d03085c024ef3d264cfb3ac874780cc,ea44f5324114a5ab936c99242025c9823ded35915863ac097a2d3db895065a21,
dlc-frontend/textures/ui/ui border top middle.tga,128,32,512,128,True,True,True,24a5fd539765acbe30dd96f50dd142a9810f0a7c3253a579cc5652152b500421,0d2320423a3b976edaeeb23e28a70384361523e7a8e0658ddfe4c35c4938d6d4,
dlc-frontend/textures/ui/ui border top right corner.tga,64,128,256,512,True,True,True,91ee6fa877bca8a9d0bab0113ea17c69e17925d46b7f2b0a4d3da8b7caab4e1e,1dedbd75ca7fc7364349de22463a3dfffede90c7686707ebef6f77dadceea932,
dlc-frontend/textures/ui/ui button arrow down 32x64 clicked.tga,32,64,128,256,True,True,True,194f78caf8eaff74c1bfd7dce015ea6423b1d791d9d53d0812960188ffa520cd,e45df769b992a42401a73af5cbb251795d97d425883977a78e40e3bfc90c4e7b,
dlc-frontend/textures/ui/ui button arrow down 32x64 rollover.tga,32,64,128,256,True,True,True,0f922730eb8a7351f1295a589480be8561b96bcbe1a7f7b89fc0506235e2b455,c19291c58bd555fc40fdcf3bbaebcb6d5965307d13941520b81a04e7187761d1,
dlc-frontend/textures/ui/ui button arrow down 32x64.tga,32,64,128,256,True,True,True,757ec10052b03ced9869e6e60b03ee19c559cfd62aaf434f60a688ee2cbb2365,d724eedc89b7a989635a2396243fa9918c5ac0990981d2b300f618dbae20eee7,
dlc-frontend/textures/ui/ui button arrow left 64x32 clicked.tga,64,32,256,128,True,True,True,351cc5dffd075f84be0982fd326ad76ac622565ee1534e5563dce630c2573c4b,eb76869ae74a690cc581aa16f6bc880d76c7a27d4e3a2f2ebdba2b9fbd641426,
dlc-frontend/textures/ui/ui button arrow left 64x32 rollover.tga,64,32,256,128,True,True,True,fccce8735bd7542d85ff10dfbf5608d9052ac67530fdaa919eadb1367af4d1e0,7134a1472638e6b71e8ca04c4fc1ff57c8cec272c87f01c1cfeb7e09cfebd23b,
dlc-frontend/textures/ui/ui button arrow left 64x32.tga,64,32,256,128,True,True,True,b7b83ec0eadf2d3ef2045246ac856a80e09f9872d0218c9957a650779aac693d,47dac13582cb06afdd53e2f73de424cf506576c9603e57bd313fefa84512f668,
dlc-frontend/textures/ui/ui button arrow right 64x32 clicked.tga,64,32,256,128,True,True,True,3be8df115674646929d750fff672642382d7445b9ea83b8ed32ec68c63d2e6ae,b3930e0eadea1d35e01c209602efc49a144848fc7c9bd7d5b4d15d2374739278,
dlc-frontend/textures/ui/ui button arrow right 64x32 rollover.tga,64,32,256,128,True,True,True,51f5fbd4eb9e9d16a5a7fb9603f937d89f635d2cc187c3682c33b6070eed8e32,67f0db8e3eff4f33fc9180c246e765dd73f6d0397b11dbc08afcd7f105c48dec,
