RelativePath,Category,SourceType,SourceWidth,SourceHeight,SourceArea,OutputWidth,OutputHeight,OutputArea,OutputMegapixels,OutputMaxDimension,BTIFormat,BTIAlphaBits,NoAlphaTest,NoMip,Clamp,BTIBOM,AlphaBand,AlphaCoveragePercent,AlphaValueCount,MTRLTotal,MTRLCT0,MTRLCT4,PBRifyFound,DDTFound,DDTBytes,DDTNonEmpty,Large1024Plus,Large2048Plus,Large4096Plus,Square1024Output,BC1Large,BC1Square1024,CanonicalFamily,EstimatedRGBABytes,OutputExactly4x
dlc-frontend\textures\ui\ui button long 224x32 rollover.tga,Unknown,NormalExtraction,256,32,8192,1024,128,131072,0.1311,1024,DEFLATEDRGBA8,1,False,False,False,False,,86.719,2,0,0,0,True,True,81952,True,True,False,False,False,False,False,DEFLATED,524288,True
dlc-frontend\textures\ui\ui button long 224x32.tga,Unknown,NormalExtraction,256,32,8192,1024,128,131072,0.1311,1024,DEFLATEDRGBA8,1,False,False,False,False,,86.719,2,0,0,0,True,True,81952,True,True,False,False,False,False,False,DEFLATED,524288,True
dlc-frontend\textures\ui\ui god all random 256x256.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,0,False,False,False,False,,72.427,16,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\ui god boarder highlight 128x128.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,4,False,False,False,False,,25.584,31,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\ui map boarder highlight 128x128.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,4,False,False,False,False,,25.584,31,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\ui map boarder template 128x128.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,DEFLATEDRGBA8,4,False,False,False,False,,32.365,16,0,0,0,True,True,655392,True,True,False,False,True,False,False,DEFLATED,4194304,True
dlc-frontend\textures\ui\ui pregame button clicked.tga,Unknown,NormalExtraction,256,64,16384,1024,256,262144,0.2621,1024,DEFLATEDRGBA8,4,False,False,False,False,,46.326,2,0,0,0,True,True,163872,True,True,False,False,False,False,False,DEFLATED,1048576,True
dlc-frontend\textures\ui\ui pregame button glow.tga,Unknown,NormalExtraction,256,64,16384,1024,256,262144,0.2621,1024,DEFLATEDRGBA8,4,False,False,False,False,,18.5,14,0,0,0,True,True,163872,True,True,False,False,False,False,False,DEFLATED,1048576,True
dlc-frontend\textures\ui\ui pregame button rollover.tga,Unknown,NormalExtraction,256,64,16384,1024,256,262144,0.2621,1024,DEFLATEDRGBA8,4,False,False,False,False,,46.326,2,0,0,0,True,True,163872,True,True,False,False,False,False,False,DEFLATED,1048576,True
dlc-frontend\textures\ui\ui pregame button.tga,Unknown,NormalExtraction,256,64,16384,1024,256,262144,0.2621,1024,DEFLATEDRGBA8,4,False,False,False,False,,46.326,2,0,0,0,True,True,163872,True,True,False,False,False,False,False,DEFLATED,1048576,True
dlc-frontend\textures\ui\ui pregame left bottom.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,60.592,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
dlc-frontend\textures\ui\ui pregame left middle.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,74.874,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
dlc-frontend\textures\ui\ui pregame left top.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,52.123,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
