RelativePath,Category,SourceType,SourceWidth,SourceHeight,SourceArea,OutputWidth,OutputHeight,OutputArea,OutputMegapixels,OutputMaxDimension,BTIFormat,BTIAlphaBits,NoAlphaTest,NoMip,Clamp,BTIBOM,AlphaBand,AlphaCoveragePercent,AlphaValueCount,MTRLTotal,MTRLCT0,MTRLCT4,PBRifyFound,DDTFound,DDTBytes,DDTNonEmpty,Large1024Plus,Large2048Plus,Large4096Plus,Square1024Output,BC1Large,BC1Square1024,CanonicalFamily,EstimatedRGBABytes,OutputExactly4x
textures\titan c pangu.tga,Unknown,NormalExtraction,1024,512,524288,4096,2048,8388608,8.3886,4096,BC3,4,True,False,False,False,,5.605,229,0,0,0,True,True,8388632,True,True,True,True,False,False,False,BC3,33554432,True
textures\ui\logo-splash-forgotten-empires.tga,Unknown,NormalExtraction,1920,1080,2073600,7680,4320,33177600,33.1776,7680,DEFLATEDRGB8,0,False,False,False,False,,0.0,1,0,0,0,True,True,20736032,True,True,True,True,False,False,False,DEFLATED,132710400,True
textures\ui\logo-splash-microsoft.tga,Unknown,NormalExtraction,1280,720,921600,5120,2880,14745600,14.7456,5120,DEFLATEDRGBA8,4,False,False,False,False,,100.0,1,0,0,0,True,True,9216032,True,True,True,True,False,False,False,DEFLATED,58982400,True
textures\ui\logo-splash-skybox.tga,Unknown,NormalExtraction,1920,1080,2073600,7680,4320,33177600,33.1776,7680,DEFLATEDRGBA8,4,False,False,False,False,,100.0,1,0,0,0,True,True,20736032,True,True,True,True,False,False,False,DEFLATED,132710400,True
textures\ui\techtreefuxi.tga,Unknown,NormalExtraction,1024,768,786432,4096,3072,12582912,12.5829,4096,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,7864352,True,True,True,True,False,False,False,DEFLATED,50331648,True
textures\ui\techtreenuwa.tga,Unknown,NormalExtraction,1024,768,786432,4096,3072,12582912,12.5829,4096,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,7864352,True,True,True,True,False,False,False,DEFLATED,50331648,True
textures\ui\techtreeshennong.tga,Unknown,NormalExtraction,1024,768,786432,4096,3072,12582912,12.5829,4096,DEFLATEDRGBA8,0,False,False,False,False,,100.0,1,0,0,0,True,True,7864352,True,True,True,True,False,False,False,DEFLATED,50331648,True
